資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-006-01	世俗諺文_天理大学図書館	2384	1461	犬	犬	鷄犬	鶏犬			2		上	平上							11803	
30-006-01	世俗諺文_天理大学図書館	2385	1462	藥	薬	藥臼	薬臼			1		入軽	入軽去		＊キウ					11803	
30-006-01	世俗諺文_天理大学図書館	2386	1462	臼	臼	藥臼	薬臼			2		去	入軽去	キウ	＊キウ					11803	仮名が少し離れている
30-006-01	世俗諺文_天理大学図書館	2387	1463	淮	淮	淮南王	淮南王			1		平	平平＊	クワイ	クワイ＊＊					11804	
30-006-01	世俗諺文_天理大学図書館	2388	1463	南	南	淮南王	淮南王			2		平	平平＊		クワイ＊＊					11804	
30-006-01	世俗諺文_天理大学図書館	2389	1464	劉	劉	劉安	劉安			1		平	平平	リウ	リウ＊					11804	
30-006-01	世俗諺文_天理大学図書館	2390	1464	安	安	劉安	劉安			2		平	平平		リウ＊					11804	
30-006-01	世俗諺文_天理大学図書館	2391	1465	安	安	安	安			1		平	平							11805	
30-006-01	世俗諺文_天理大学図書館	2392	1466	器	器	器	器			1		去	去	キ	キ					11805	
30-006-01	世俗諺文_天理大学図書館	2393	1467	機	機	支機	支機			2		平	＊平							11901	
30-006-01	世俗諺文_天理大学図書館	2394	1468	君	君	嚴君辛	厳君辛			2		平	＊平平							11901	
30-006-01	世俗諺文_天理大学図書館	2395	1468	辛	辛	嚴君辛	厳君辛			3		平	＊平平							11901	
30-006-01	世俗諺文_天理大学図書館	2396	1469	客	客	客星	客星			1		入	入平軽							11902	
30-006-01	世俗諺文_天理大学図書館	2397	1469	星	星	客星	客星			2		平軽	入平軽							11902	
30-006-01	世俗諺文_天理大学図書館	2398	1470	斗	斗	斗牛	斗牛			1		上	上平濁							11902	
30-006-01	世俗諺文_天理大学図書館	2399	1470	牛	牛	斗牛	斗牛			2		平濁	上平濁							11902	
30-006-01	世俗諺文_天理大学図書館	2400	1471	即	即	即	即チ			1		去	去							11902	声点かどうか不詳
30-006-01	世俗諺文_天理大学図書館	2401	1472	王	王	王遠	王遠			1		平	平上							11904	
30-006-01	世俗諺文_天理大学図書館	2402	1472	遠	遠	王遠	王遠			2		上	平上							11904	
30-006-01	世俗諺文_天理大学図書館	2403	1473	方	方	方平	方平			1		平	平平							11904	
30-006-01	世俗諺文_天理大学図書館	2404	1473	平	平	方平	方平			2		平	平平							11904	
30-006-01	世俗諺文_天理大学図書館	2405	1474	麻	麻	麻姑	麻姑			1		平濁	平濁平	ハ	ハコ					11904	
30-006-01	世俗諺文_天理大学図書館	2406	1474	姑	姑	麻姑	麻姑			2		平	平濁平	コ	ハコ					11904	
30-006-01	世俗諺文_天理大学図書館	2407	1475	王	王	王方平	王方平			1		平	平平平							11904	
30-006-01	世俗諺文_天理大学図書館	2408	1475	方	方	王方平	王方平			2		平	平平平							11904	
30-006-01	世俗諺文_天理大学図書館	2409	1475	平	平	王方平	王方平			3		平	平平平							11905	
30-006-01	世俗諺文_天理大学図書館	2410	1476	接	接	接侍	接侍			1		入	入去							11905	
30-006-01	世俗諺文_天理大学図書館	2411	1476	侍	侍	接侍	接侍			2		去	入去							11905	
30-006-01	世俗諺文_天理大学図書館	2412	1477	陵	陵	陵陸	陵陸			1		平	平入軽							11906	
30-006-01	世俗諺文_天理大学図書館	2413	1477	陸	陸	陵陸	陵陸			2		入軽	平入軽							11906	
30-006-01	世俗諺文_天理大学図書館	2414	1478	方	方	方平	方平			1		平	平平							11906	
30-006-01	世俗諺文_天理大学図書館	2415	1478	平	平	方平	方平			2		平	平平							11906	
30-006-01	世俗諺文_天理大学図書館	2416	1479	逸	逸	逸士傳	逸士伝			1		入軽	入軽去＊							12001	
30-006-01	世俗諺文_天理大学図書館	2417	1479	士	士	逸士傳	逸士伝			2		去	入軽去＊							12001	
30-006-01	世俗諺文_天理大学図書館	2418	1480	許	許	許由	許由			1		上	上平	キヨ	キヨ＊					12001	
30-006-01	世俗諺文_天理大学図書館	2419	1480	由	由	許由	許由			2		平	上平		キヨ＊					12001	
30-006-01	世俗諺文_天理大学図書館	2420	1481	尭	尭	尭	尭			1		平濁	平濁	ケウ	ケウ					12001	
30-006-01	世俗諺文_天理大学図書館	2421	1482	聘	聘	聘	聘ス			1		去	去	ヘイ	ヘイ					12001	
30-006-01	世俗諺文_天理大学図書館	2422	1483	長	長	長	長			1		上	上							12001	
30-006-01	世俗諺文_天理大学図書館	2423	1484	商	商	商山	商山			1		平	平＊	シヤウ	シヤウ＊					12003	
30-006-01	世俗諺文_天理大学図書館	2424	1485	皓	皓	四皓	四皓			2		去	＊去	カウ	＊カウ					12003	
30-006-01	世俗諺文_天理大学図書館	2425	1486	贊	賛	贊	賛			1				サン	サン					12004	
30-006-01	世俗諺文_天理大学図書館	2426	1487	漢	漢	漢	漢			1		去	去							12004	
30-006-01	世俗諺文_天理大学図書館	2427	1488	園	園	園公	園公			1		平	平平軽	ヱン	ヱン＊					12004	
30-006-01	世俗諺文_天理大学図書館	2428	1488	公	公	園公	園公			2		平軽	平平軽		ヱン＊					12004	
30-006-01	世俗諺文_天理大学図書館	2429	1489	綺	綺	綺里季	綺里季			1		去	去＊去	キ	キリキ					12004	
30-006-01	世俗諺文_天理大学図書館	2430	1489	里	里	綺里季	綺里季			2			去＊去	リ	キリキ					12004	
