資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	国立国会図書館デジタルコレクション複製本リンク
40-045-01	東洋文庫本法華経音訓	1030	1019	僮	僮	僮	僮			1	1	去濁	去濁	トウ	トウ				譬喩品	22b6_1		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1031	1020	僕	僕	僕	僕			1	1	入濁	入濁	ホク	ホク				譬喩品	22b6_2		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1032	1021	堂	堂	堂	堂			1	1	上濁／去濁	上濁／去濁	タウ	タウ				譬喩品	22b6_3		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1033	1022	閣	閣	閣	閣			1	1	入	入	カク	カク				譬喩品	22b6_4	樓―	https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1034	1023	朽	朽	朽	朽			1	1	平	平	ク	ク				譬喩品	23a1_1		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1035	1024	墻	墻	墻	墻			1	1	去	去	シヤウ	シヤウ				"譬喩品,(墻,牆,_)"	23a1_2		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1036	1025	墻	牆	墻	牆			1	1	(去)	(去)	(シヤウ)	(シヤウ)				"譬喩品,同(墻,牆,_)"	23a1_3		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1037	1026	墻	_	墻	_			1	1	(去)	(去)	(シヤウ)	(シヤウ)				"譬喩品,同(墻,牆,_)"	23a1_4		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1038	1027	壁	壁	壁	壁			1	1	入濁	入濁	ヒヤク	ヒヤク				譬喩品	23a2_1		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1039	1028	頽	頽	頽	頽			1	1	平	平	タイ	タイ				"譬喩品,(頽,_,_)"	23a2_2		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1040	1029	_	_	_	_			1	1	(平)	(平)	(タイ)	(タイ)				"譬喩品,同(頽,_,_)"	23a2_3		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1041	1030	_	_	_	_			1	1	(平)	(平)	(タイ)	(タイ)				"譬喩品,同(頽,_,_)"	23a2_4		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1042	1031	柱	柱	柱	柱			1	1	平	平	チウ	チウ				譬喩品	23a3_1		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1043	1032	腐	腐	腐	腐			1	1	平	平	フ	フ				譬喩品	23a3_2		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1044	1033	敗	敗	敗	敗			1	1	平	平	ハイ	ハイ				譬喩品	23a3_3		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1045	1034	梁	梁	梁	梁			1	1	平	平	リヤウ	リヤウ				譬喩品	23a3_4	梁の「_」は「刃」	https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1046	1035	棟	棟	棟	棟			1	1	平	平	トウ	トウ				譬喩品	23a4_1		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1047	1036	傾	傾	傾	傾			1	1	平	平	クヰヤウ	クヰヤウ				譬喩品	23a4_2		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1048	1037	危	危	危	危			1	1	平	平	クヰ	クヰ				譬喩品	23a4_3		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1049	1038	匝	_	匝	_			1	1	入	入	サフ	サフ				"譬喩品,(_,_,匝)"	23a4_4		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1050	1039	匝	_	匝	_			1	1	(入)	(入)	(サフ)	(サフ)				"譬喩品,同(_,_,匝)"	23a5_1		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1051	1040	匝	匝	匝	匝			1	1	(入)	(入)	(サフ)	(サフ)				"譬喩品,同(_,_,匝)"	23a5_2		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1052	1041	_	_	_	_			1	1	入	入	コツ	コツ				譬喩品	23a5_3		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1053	1042	焚	焚	焚	焚			1	1	去濁	去濁	ホム	ホム				譬喩品	23a5_4		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1054	1043	燒	燒	燒	燒			1	1	上／去	上／去	セウ	セウ				譬喩品	23a6_1		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1055	1044	嬉	嬉	嬉	嬉			1	1	平	平	キ	キ				譬喩品	23a6_2		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1056	1045	痛	痛	痛	痛			1	1	去	去	ツウ	ツウ				譬喩品	23a6_3	痛の「マ」は「口」	https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1057	1046	患	患	患	患			1	1	平濁	平濁	クエン	クエン				譬喩品	23a6_4		https://dl.ndl.go.jp/pid/3438692/1/24
40-045-01	東洋文庫本法華経音訓	1058	1047	_	_	_	_			1	1	入	入	コク	コク				譬喩品	23b1_1	衣―	https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1059	1048	几	几	几	几			1	1	上／去	上／去	キ	キ				"譬喩品,(几,机)"	23b1_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1060	1049	机	机	机	机			1	1	(上／去)	(上／去)	(キ)	(キ)				"譬喩品,同(几,机)"	23b1_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1061	1050	案	案	案	案			1	1	上	上	アン	アン				譬喩品	23b1_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1062	1051	狹	狹	狹	狹			1	1	入	入	ケフ	ケフ				"譬喩品,(狹,狎,陜)"	23b2_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1063	1052	狎	狎	狎	狎			1	1	(入)	(入)	(ケフ)	(ケフ)				"譬喩品,同(狹,狎,陜)"	23b2_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1064	1053	狹	陜	狹	陜			1	1	(入)	(入)	(ケフ)	(ケフ)				"譬喩品,同(狹,狎,陜)"	23b2_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1065	1054	幼	幼	幼	幼			1	1	去	去	エウ	エウ				譬喩品	23b2_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1066	1055	戀	戀	戀	戀			1	1	平	平	レン	レン				譬喩品	23b3_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1067	1056	害	害	害	害			1	1	平濁	平濁	カイ	カイ				譬喩品	23b3_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1068	1057	憐	憐	憐	憐			1	1	去	去	レン	レン				譬喩品	23b3_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1069	1058	愍	愍	愍	愍			1	1	平／去	平／去	ミン	ミン				"譬喩品,(愍,_)"	23b3_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1070	1059	愍	_	愍	_			1	1	(平／去)	(平／去)	(ミン)	(ミン)				"譬喩品,同(愍,_)"	23b4_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1071	1060	誘	誘	誘	誘			1	1	平	平	ユ	ユ				譬喩品	23b4_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1072	1061	諭	諭	諭	諭			1	1	平	平	ユ	ユ				譬喩品	23b4_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1073	1062	肯	肯	肯	肯			1	1	平	平	コウ	コウ				"譬喩品,(肯,_)"	23b4_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1074	1063	肯	_	肯	_			1	1	(平)	(平)	(コウ)	(コウ)				"譬喩品,同(肯,_)"	23b5_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1075	1064	西	西	西	西			1	1	上／去	上／去	サイ	サイ				譬喩品	23b5_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1076	1065	走	走	走	走			1	1	平	平	ソウ	ソウ				譬喩品	23b5_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1077	1066	免	免	免	免			1	1	去	去	メン	メン				譬喩品	23b5_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1078	1067	玩	玩	玩	玩			1	1	去	去	クワン	クワン				譬喩品	23b6_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1079	1068	奇	竒	奇	竒			1	1	上／去	上／去	キ	キ				譬喩品	23b6_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1080	1069	物	物	物	物			1	1	入	入	モツ	モツ				譬喩品	23b6_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1081	1070	情	情	情	情			1	1	上濁	上濁	シヤウ	シヤウ				譬喩品	23b6_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1082	1071	羊	羊	羊	羊			1	1	上／去	上／去	ヤウ	ヤウ				譬喩品	24a1_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1083	1072	鹿	鹿	鹿	鹿			1	1	入	入	ロク	ロク				譬喩品	24a1_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1084	1073	外	外	外	外			1	1	平濁	平濁	ケ	ケ				譬喩品	24a1_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1085	1074	鋭	__	鋭	__			1	1	平	平	エイ	エイ				譬喩品	24a1_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1086	1075	互	_	互	_			1	1	去濁	去濁						"譬喩品,(_,互)"	24a2_1	字音仮名なし	https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1087	1076	互	互	互	互			1	1	(去濁)	(去濁)						"譬喩品,同(_,互)"	24a2_2	字音仮名なし	https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1088	1077	推	推	推	推			1	1	平／去	平／去	スイ	スイ				譬喩品	24a2_3	去声点塗りつぶし	https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1089	1078	排	排	排	排			1	1	平	平	ハイ	ハイ				譬喩品	24a2_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1090	1079	競	競	競	競			1	1	平	平	キヤウ	キヤウ				"譬喩品,(競,__)"	24a3_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1091	1080	競	__	競	__			1	1	(平)	(平)	(キヤウ)	(キヤウ)				"譬喩品,同(競,__)"	24a3_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1092	1081	馳	馳	馳	馳			1	1	上／去	上／去	チ	チ				譬喩品	24a3_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1093	1082	爭	爭	爭	爭			1	1	平濁	平濁	シヤウ	シヤウ				譬喩品	24a3_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1094	1083	衢	衢	衢	衢			1	1	上	上	ク	ク				譬喩品	24a4_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1095	1084	障	_	障	_			1	1	平	平	シヤウ	シヤウ				譬喩品	24a4_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1096	1085	許	許	許	許			1	1	平	平	コ	コ				譬喩品	24a4_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1097	1086	賜	賜	賜	賜			1	1	平	平	シ	シ				譬喩品	24a4_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1098	1087	張	張	張	張			1	1	平	平	チヤウ	チヤウ				譬喩品	24a5_1		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1099	1088	_	_	_	_			1	1	去	去	ケン	ケン				譬喩品	24a5_2	―蓋	https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1100	1089	絞	絞	絞	絞			1	1	去	去	ケウ	ケウ				譬喩品	24a5_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1101	1090	絡	絡	絡	絡			1	1	入	入	ラク	ラク				譬喩品	24a5_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1102	1091	瓔	瓔	瓔	瓔			1	1	上／去	上／去	ヤウ	ヤウ				譬喩品	24a6_1	―洛	https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1103	1092	_	_	_	_			1	1	去	去	ヲン	ヲン				譬喩品	24a6_2		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1104	1093	_	_	_	_			1	1	平	平	エン	エン				譬喩品	24a6_3		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1105	1094	筵	筵	筵	筵			1	1	平	平	エン	エン				譬喩品	24a6_4		https://dl.ndl.go.jp/pid/3438692/1/25
40-045-01	東洋文庫本法華経音訓	1106	1095	庫	庫	庫	庫			1	1	上／去	上／去	コ	コ				譬喩品	24b1_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1107	1096	置	置	置	置			1	1	上	上	チ	チ				譬喩品	24b1_2	置の「直」は「_十目一」	https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1108	1097	丹	丹	丹	丹			1	1	去	去	タン	タン				譬喩品	24b1_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1109	1098	枕	枕	枕	枕			1	1	上濁	上濁	シン	シン				譬喩品	24b1_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1110	1099	駕	駕	駕	駕			1	1	上／去	上／去	カ	カ				譬喩品	24b2_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1111	1100	膚	膚	膚	膚			1	1	平	平	フ	フ				譬喩品	24b2_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1112	1101	潔	_	潔	_			1	1	入	入	ケツ	ケツ				譬喩品	24b2_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1113	1102	_	_	_	_			1	1	上／去	上／去	シユ	シユ				譬喩品	24b2_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1114	1103	筋	筋	筋	筋			1	1	去	去	コン	コン				譬喩品	24b3_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1115	1104	歩	歩	歩	歩			1	1	平濁	平濁	フ	フ				譬喩品	24b3_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1116	1105	侍	侍	侍	侍			1	1	平濁	平濁	シ	シ				譬喩品	24b3_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1117	1106	衞	衞	衞	衞			1	1	平	平	エ	エ				譬喩品	24b3_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1118	1107	溢	溢	溢	溢			1	1	入	入	イチ	イチ				譬喩品	24b4_1	溢の「益」は「__大皿」	https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1119	1108	極	極	極	極			1	1	入濁	入濁	コク	コク				譬喩品	24b4_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1120	1109	劣	劣	劣	劣			1	1	入	入	レツ	レツ				譬喩品	24b4_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1121	1110	偏	偏	偏	偏			1	1	去	去	ヘン	ヘン				譬喩品	24b4_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1122	1111	黨	黨	黨	黨			1	1	上	上	タウ	タウ				譬喩品	24b5_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1123	1112	給	給	給	給			1	1	入	入	キフ	キフ				譬喩品	24b5_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1124	1113	匱	匱	匱	匱			1	1	平	平	クヰ	クヰ				譬喩品	24b5_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1125	1114	望	望	望	望			1	1	去	去	マウ	マウ				譬喩品	24b5_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1126	1115	全	全	全	全			1	1	去	去	セン	セン				譬喩品	24b6_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1127	1116	躯	_	躯	_			1	1	平	平	ク	ク				譬喩品	24b6_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1128	1117	暗	暗	暗	暗			1	1	平	平	アン	アン				譬喩品	24b6_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1129	1118	愚	愚	愚	愚			1	1	上濁／去濁	上濁／去濁	ク	ク				譬喩品	24b6_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1130	1119	煮	_	煮	_			1	1	上	上	シヨ／ソ	シヨ／ソ				譬喩品	25a1_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1131	1120	追	追	追	追			1	1	平	平	ツイ	ツイ				譬喩品	25a1_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1132	1121	畜	畜	畜	畜			1	1	入	入	チク	チク				譬喩品	25a1_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1133	1122	餓	餓	餓	餓			1	1	平濁	平濁	カ	カ				譬喩品	25a1_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1134	1123	困	困	困	困			1	1	去	去	コン	コン				譬喩品	25a2_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1135	1124	怨	怨	怨	怨			1	1	去	去	ヲン	ヲン				譬喩品	25a2_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1136	1125	憎	憎	憎	憎			1	1	上濁／去濁	上濁／去濁	ソウ	ソウ				譬喩品	25a2_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1137	1126	勉	勉	勉	勉			1	1	去	去	メン	メン				譬喩品	25a2_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1138	1127	麁	麁	麁	麁			1	1	上／去	上／去	ソ	ソ				"譬喩品,(麁,_)"	25a3_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1139	1128	麁	_	麁	_			1	1	(上／去)	(上／去)	(ソ)	(ソ)				"譬喩品,同(麁,_)"	25a3_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1140	1129	弊	弊	弊	弊			1	1	平	平	ヘイ	ヘイ				"譬喩品,(弊,_)"	25a3_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1141	1130	弊	_	弊	_			1	1	(平)	(平)	(ヘイ)	(ヘイ)				"譬喩品,同(弊,_)"	25a3_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1142	1131	味	味	味	味			1	1	平	平	ミ	ミ				譬喩品	25a4_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1143	1132	觸	觸	觸	觸			1	1	入	入	ソク	ソク				"譬喩品,(觸,__)"	25a4_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1144	1133	觸	__	觸	__			1	1	(入)	(入)	(ソク)	(ソク)				"譬喩品,同(觸,__)"	25a4_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1145	1134	保	保	保	保			1	1	去	去	ホウ	ホウ				譬喩品	25a4_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1146	1135	任	任	任	任			1	1	平	平	ニン	ニン				譬喩品	25a5_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1147	1136	繋	_	繋	_			1	1	平	平	ケ	ケ				譬喩品	25a5_2	_の「几」は「口」	https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1148	1137	娯	_	娯	_			1	1	上濁／去濁	上濁／去濁	コ	コ				譬喩品	25a5_3	_の「天」は「矢」	https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1149	1138	頓	頓	頓	頓			1	1	平	平	トン	トン				譬喩品	25a5_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1150	1139	摧	摧	摧	摧			1	1	去濁	去濁	サイ	サイ				譬喩品	25a6_1		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1151	1140	斜	斜	斜	斜			1	1	上	上	シヤ	シヤ				譬喩品	25a6_2		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1152	1141	基	基	基	基			1	1	平	平	キ	キ				譬喩品	25a6_3		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1153	1142	陛	陛	陛	陛			1	1	平	平	ヘイ	ヘイ				譬喩品	25a6_4		https://dl.ndl.go.jp/pid/3438692/1/26
40-045-01	東洋文庫本法華経音訓	1154	1143	毀	毀	毀	毀			1	1	平	平	クヰ	クヰ				譬喩品	25b1_1	毀の「几」は「口」	https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1155	1144	__	__	__	__			1	1	平	平	ヒ	ヒ				譬喩品	25b1_2		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1156	1145	_	_	_	_			1	1	入	入	チヤク	チヤク				"譬喩品,(_,__)"	25b1_3		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1157	1146	_	__	_	__			1	1	(入)	(入)	(チヤク)	(チヤク)				"譬喩品,同(_,__)"	25b1_4		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1158	1147	_	_	_	_			1	1	平濁	平濁	テイ	テイ				譬喩品	25b2_1		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1159	1148	塗	塗	塗	塗			1	1	上濁／去濁	上濁／去濁	ツ	ツ				譬喩品	25b2_2		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1160	1149	褫	褫	褫	褫			1	1	上／去	上／去	チ	チ				譬喩品	25b2_3		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1161	1150	覆	覆	覆	覆			1	1	平／入	平／入	フ／フク	フ／フク				譬喩品	25b2_4		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1162	1151	苫	苫	苫	苫			1	1	平	平	セン	セン				譬喩品	25b3_1		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1163	1152	椽	椽	椽	椽			1	1	去濁	去濁	テン	テン				譬喩品	25b3_2	椽の「彑」は「_」	https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1164	1153	梠	梠	梠	梠			1	1	上	上	リヨ	リヨ				譬喩品	25b3_3	梠の「呂」は「_」	https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1165	1154	障	障	障	障			1	1	平	平	シヤウ	シヤウ				譬喩品	25b3_4	障の「日」は「田」	https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1166	1155	屈	屈	屈	屈			1	1	入	入	クツ	クツ				譬喩品	25b4_1		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1167	1156	鵄	鵄	鵄	鵄			1	1	上	上	シ	シ				"譬喩品,(鵄,_,__)"	25b4_2		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1168	1157	鵄	_	鵄	_			1	1	(上)	(上)	(シ)	(シ)				"譬喩品,同(鵄,_,__)"	25b4_3		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1169	1158	鵄	__	鵄	__			1	1	(上)	(上)	(シ)	(シ)				"譬喩品,同(鵄,_,__)"	25b4_4		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1170	1159	梟	梟	梟	梟			1	1	上	上	ケウ	ケウ				譬喩品	25b5_1		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1171	1160	_	_	_	_			1	1	去濁	去濁	テウ	テウ				譬喩品	25b5_2	_の左部は「周」	https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1172	1161	鷲	鷲	鷲	鷲			1	1	平濁	平濁	シユ	シユ				譬喩品	25b5_3		https://dl.ndl.go.jp/pid/3438692/1/27
40-045-01	東洋文庫本法華経音訓	1173	1162	烏	烏	烏	烏			1	1	上／去	上／去	ウ	ウ				譬喩品	25b5_4		https://dl.ndl.go.jp/pid/3438692/1/27
