資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-02	唯信抄_西本願寺	1180	527	十	十	十方衆生	十方衆生			1	2			シフ	シフハウシユシヤウ					90.3		十方衆生
30-023-02	唯信抄_西本願寺	1181	527	方	方	十方衆生	十方衆生			2	2			ハウ	シフハウシユシヤウ					90.3		十方衆生
30-023-02	唯信抄_西本願寺	1182	527	衆	衆	十方衆生	十方衆生			3	1			シユ	シフハウシユシヤウ					90.3		十方衆生
30-023-02	唯信抄_西本願寺	1183	527	生	生	十方衆生	十方衆生			4	2			シヤウ	シフハウシユシヤウ					90.3		十方衆生
30-023-02	唯信抄_西本願寺	1184	528	稱	稱	稱我名號	稱我名号			1	2			シヨウ	シヨウカミヤウカウ					90.3		稱我名号
30-023-02	唯信抄_西本願寺	1185	528	我	我	稱我名號	稱我名号			2	1			カ	シヨウカミヤウカウ					90.3		稱我名号
30-023-02	唯信抄_西本願寺	1186	528	名	名	稱我名號	稱我名号			3	2			ミヤウ	シヨウカミヤウカウ					90.3		稱我名号
30-023-02	唯信抄_西本願寺	1187	528	號	号	稱我名號	稱我名号			4	2			カウ	シヨウカミヤウカウ					90.3		稱我名号
30-023-02	唯信抄_西本願寺	1188	529	下	下	下至十聲	下至十聲			1	1			ケ	ケシシフシヤウ					90.3		下至十聲
30-023-02	唯信抄_西本願寺	1189	529	至	至	下至十聲	下至十聲			2	1			シ	ケシシフシヤウ					90.3		下至十聲
30-023-02	唯信抄_西本願寺	1190	529	十	十	下至十聲	下至十聲			3	2			シフ	ケシシフシヤウ					90.3		下至十聲
30-023-02	唯信抄_西本願寺	1191	529	聲	聲	下至十聲	下至十聲			4	2			シヤウ	ケシシフシヤウ					90.3		下至十聲
30-023-02	唯信抄_西本願寺	1192	530	若	若	若不生者	若不生者			1	2			ニヤク	ニヤクフシヤウシヤ					90.4		若不生者
30-023-02	唯信抄_西本願寺	1193	530	不	不	若不生者	若不生者			2	1			フ	ニヤクフシヤウシヤ					90.4		若不生者
30-023-02	唯信抄_西本願寺	1194	530	生	生	若不生者	若不生者			3	2			シヤウ	ニヤクフシヤウシヤ					90.4		若不生者
30-023-02	唯信抄_西本願寺	1195	530	者	者	若不生者	若不生者			4	1			シヤ	ニヤクフシヤウシヤ					90.4		若不生者
30-023-02	唯信抄_西本願寺	1196	531	不	不	不取正覺	不取正覺			1	1			フ	フシユシヤウカク					90.4		不取正覺
30-023-02	唯信抄_西本願寺	1197	531	取	取	不取正覺	不取正覺			2	1			シユ	フシユシヤウカク					90.4		不取正覺
30-023-02	唯信抄_西本願寺	1198	531	正	正	不取正覺	不取正覺			3	2			シヤウ	フシユシヤウカク					90.4		不取正覺
30-023-02	唯信抄_西本願寺	1199	531	覺	覺	不取正覺	不取正覺			4	2			カク	フシユシヤウカク					90.4		不取正覺
30-023-02	唯信抄_西本願寺	1200	532	聲	聲	十聲	十聲			2	2			シヤウ	＊シヤウ					90.5		十聲
30-023-02	唯信抄_西本願寺	1201	533	口	口	口稱	口稱			1	1	平	平去	ク	クシヨウ					90.5		口稱
30-023-02	唯信抄_西本願寺	1202	533	稱	稱	口稱	口稱			2	2	去	平去	シヨウ	クシヨウ					90.5		口稱
30-023-02	唯信抄_西本願寺	1203	534	義	義	義	義			1	1			キ	キ					90.5		義
30-023-02	唯信抄_西本願寺	1204	535a	臨	臨	臨終	臨終			1	2			リム	リムシユ					91.2		臨終
30-023-02	唯信抄_西本願寺	1205	535a	終	終	臨終	臨終			2	1			シユ	リムシユ					91.2		臨終
30-023-02	唯信抄_西本願寺	1206	535b	臨	臨	臨終	臨終			1	2			リム	リムシユ					91.4		臨終
30-023-02	唯信抄_西本願寺	1207	535b	終	終	臨終	臨終			2	1			シユ	リムシユ					91.4		臨終
30-023-02	唯信抄_西本願寺	1208	536	尋	尋	尋常	尋常			1	2	去濁	去濁上濁	シム	シムシヤウ					91.5		尋常
30-023-02	唯信抄_西本願寺	1209	536	常	常	尋常	尋常			2	2	上濁	去濁上濁	シヤウ	シムシヤウ					91.5		尋常
30-023-02	唯信抄_西本願寺	1210	537	按	按	按	按スル			1	2	平	平	アン	アン					92.2		按
30-023-02	唯信抄_西本願寺	1211	538	臨	臨	臨終	臨終			1	2			リム	リムシユ					92.2		臨終
30-023-02	唯信抄_西本願寺	1212	538	終	終	臨終	臨終			2	1			シユ	リムシユ					92.2		臨終
30-023-02	唯信抄_西本願寺	1213	539	百	百	百苦	百苦			1	2			ヒヤク	ヒヤクク					92.5		百苦
30-023-02	唯信抄_西本願寺	1214	539	苦	苦	百苦	百苦			2	1			ク	ヒヤクク					92.5		百苦
30-023-02	唯信抄_西本願寺	1215	540	正	正	正念	正念			1	2			シヤウ	シヤウネム					92.5		正念
30-023-02	唯信抄_西本願寺	1216	540	念	念	正念	正念			2	2			ネム	シヤウネム					92.5		正念
30-023-02	唯信抄_西本願寺	1217	541	信	信	信心	信心			1	2			シン	シンシム					93.5		信心
30-023-02	唯信抄_西本願寺	1218	541	心	心	信心	信心			2	2			シム	シンシム					93.5		信心
30-023-02	唯信抄_西本願寺	1219	542	師	師	醫師	醫師			2	1			シ	＊シ					94.2		醫師
30-023-02	唯信抄_西本願寺	1220	543	陰	陰	陰陽師	陰陽師			1	2									94.3		陰陽師
30-023-02	唯信抄_西本願寺	1221	543	陽	陽	陰陽師	陰陽師			2	2									94.3		陰陽師
30-023-02	唯信抄_西本願寺	1222	543	師	師	陰陽師	陰陽師			3	1									94.3		陰陽師
30-023-02	唯信抄_西本願寺	1223	544	信	信	信	信スル			1	2			シン	シン					94.3		信
30-023-02	唯信抄_西本願寺	1224	545	治	治	治方	治方			1	1	上濁	上濁上	チ	チホウ					94.5		治方
30-023-02	唯信抄_西本願寺	1225	545	方	方	治方	治方			2	2	上	上濁上	ホウ	チホウ					94.5		治方
30-023-02	唯信抄_西本願寺	1226	546	樣	ヤウ	樣	ヤウ			1	2			ヤウ	ヤウ					95.2		様
30-023-02	唯信抄_西本願寺	1227	547	療	療	療治	療治			1	2	去	去上濁	レウ	レウチ					95.4		療治
30-023-02	唯信抄_西本願寺	1228	547	治	治	療治	療治			2	1	上濁	去上濁	チ	レウチ					95.4		療治
30-023-02	唯信抄_西本願寺	1229	548	信	信	信	信スル			1	2			シン	シン					97.1		信
30-023-02	唯信抄_西本願寺	1230	549	臨	臨	臨終	臨終			1	2	去	去上濁	リム	リムシユ					97.1		臨終
30-023-02	唯信抄_西本願寺	1231	549	終	終	臨終	臨終			2	1	上濁	去上濁	シユ	リムシユ					97.1		臨終
30-023-02	唯信抄_西本願寺	1232	550	刹	刹	一刹那	一刹那			2	1									97.3		一刹那
30-023-02	唯信抄_西本願寺	1233	550	那	那	一刹那	一刹那			3	1									97.3		一刹那
30-023-02	唯信抄_西本願寺	1234	551	存	存	存	存セム			1	2	去濁	去濁	ソン	ソン					97.4		存
30-023-02	唯信抄_西本願寺	1235	552	後	後	後生	後生			1	1	平濁	平濁去濁	コ	コシヤウ					97.5		後生
30-023-02	唯信抄_西本願寺	1236	552	生	生	後生	後生			2	2	去濁	平濁去濁	シヤウ	コシヤウ					97.5		後生
30-023-02	唯信抄_西本願寺	1237	553	火	火	火車	火車			1	1	平	平上	クワ	クワシヤ					98.1		火車
30-023-02	唯信抄_西本願寺	1238	553	車	車	火車	火車			2	1	上	平上	シヤ	クワシヤ					98.1		火車
30-023-02	唯信抄_西本願寺	1239	554	相	相	相現	相現シ			1	2	平	平平濁	サウ	サウケン					98.1		相現
30-023-02	唯信抄_西本願寺	1240	554	現	現	相現	相現シ			2	2	平濁	平平濁	ケン	サウケン					98.1		相現
30-023-02	唯信抄_西本願寺	1241	555	鬼	鬼	鬼率	鬼率			1	1	上	上入	クヰ	クヰソツ					98.2	朱筆	鬼率
30-023-02	唯信抄_西本願寺	1242	555	率	率	鬼率	鬼率			2	2	入	上入	ソツ	クヰソツ					98.2	朱筆	鬼率
30-023-02	唯信抄_西本願寺	1243	556	獄	コク	獄卒	コクソチ			1	2			コク〔左〕	コクソチ					98.2		獄卒
30-023-02	唯信抄_西本願寺	1244	556	率	ソチ	獄卒	コクソチ			2	2			ソチ〔左〕	コクソチ					98.2		獄卒
30-023-02	唯信抄_西本願寺	1245	557	善	善	善知識	善知識			1	2									98.4		善知識
30-023-02	唯信抄_西本願寺	1246	557	知	知	善知識	善知識			2	1									98.4		善知識
30-023-02	唯信抄_西本願寺	1247	557	識	識	善知識	善知識			3	2									98.4		善知識
30-023-02	唯信抄_西本願寺	1248	558	深	深	深重	深重			1	2	去濁	去濁平濁	シム	シムチウ					99.1		深重
30-023-02	唯信抄_西本願寺	1249	558	重	重	深重	深重			2	2	平濁	去濁平濁	チウ	シムチウ					99.1		深重
30-023-02	唯信抄_西本願寺	1250	559	信	信	信心	信心			1	2			シン	シンシム					99.1		信心
