資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-055-01	ドチリーナ・キリシタン_東洋文庫	3754	2219	婦	婦	夫婦	夫婦	fǔfu		2				フ	フゥフ					108l-08	バチカン本対応箇所なし	fu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3755	2220	約	約	約束	約束	yacusocu		1				ヤク	ヤクソク					108l-08	バチカン本対応箇所なし	yacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3756	2220	束	束	約束	約束	yacusocu		2				ソク	ヤクソク					108l-08	バチカン本対応箇所なし	socu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3757	2221	偸	偸	偸盜	偸盗	chǔtǒ		1				チュゥ	チュゥタゥ					108l-17	バチカン本対応箇所なし	chǔ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3758	2221	盜	盗	偸盜	偸盗	chǔtǒ		2				タゥ	チュゥタゥ					108l-17	バチカン本対応箇所なし	tǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3759	2222	國	國	國中	國中	cocuchǔ		1				コク	コクチュゥ					108l-19	バチカン本対応箇所なし	cocu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3760	2222	中	中	國中	國中	cocuchǔ		2				チュゥ	コクチュゥ					108l-19	バチカン本対応箇所なし	chǔ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3761	2223	后	后	后妃	后妃	cô□i		1				コゥ	コゥヒ					108l-23	バチカン本対応箇所なし。橋本進吉翻字頭注「Côfi, fの字消えて見えず」（p.198）。	cô
50-055-01	ドチリーナ・キリシタン_東洋文庫	3762	2223	妃	妃	后妃	后妃	cô□i		2				ヒ	コゥヒ					108l-23	バチカン本対応箇所なし。橋本進吉翻字頭注「Côfi, fの字消えて見えず」（p.198）。	□i
50-055-01	ドチリーナ・キリシタン_東洋文庫	3763	2224	帝	帝	帝王	帝王	teivǒ		1				テイ	テイワゥ					108l-23	バチカン本対応箇所なし	tei
50-055-01	ドチリーナ・キリシタン_東洋文庫	3764	2224	王	王	帝王	帝王	teivǒ		2				ワゥ	テイワゥ					108l-23	バチカン本対応箇所なし	vǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3765	2225	高	高	高上	高上	cǒjǒ		1				カゥ	カゥジャゥ					108l-25	バチカン本対応箇所なし	cǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3766	2225	上	上	高上	高上	cǒjǒ		2				ジャゥ	カゥジャゥ					108l-25	バチカン本対応箇所なし	jǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3767	2226	後	後	後宮	後宮	côqiǔ		1				コゥ	コゥキュゥ					108l-26	バチカン本対応箇所なし	cô
50-055-01	ドチリーナ・キリシタン_東洋文庫	3768	2226	宮	宮	後宮	後宮	côqiǔ		2				キュゥ	コゥキュゥ					108l-26	バチカン本対応箇所なし	qiǔ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3769	2227	古	古	古來	古來	corai		1				コ	コライ					108l-28	バチカン本対応箇所なし	co
50-055-01	ドチリーナ・キリシタン_東洋文庫	3770	2227	來	來	古來	古來	corai		2				ライ	コライ					108l-28	バチカン本対応箇所なし	rai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3771	2228	行	行	行跡	行跡	cǒxeqi		1				カゥ	カゥセキ					108r-01	バチカン本対応箇所なし	cǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3772	2228	跡	跡	行跡	行跡	cǒxeqi		2				セキ	カゥセキ					108r-01	バチカン本対応箇所なし	xeqi
50-055-01	ドチリーナ・キリシタン_東洋文庫	3773	2229	號	號	號し	號し	cǒxi	混種語	1				カゥ	カゥシ				見出し語出現形：cǒxi suru	108r-04	バチカン本対応箇所なし。	cǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3774	2230	恭	恭	恭敬する	恭敬する	cuguiǒ suru	混種語	1				ク	クギャゥスル					108r-08	バチカン本対応箇所なし	cu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3775	2230	敬	敬	恭敬する	恭敬する	cuguiǒ suru	混種語	2				ギャゥ	クギャゥスル					108r-08	バチカン本対応箇所なし	guiǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3776	2231	苦	苦	苦惱	苦惱	cunǒ		1				ク	クナゥ					108r-10	バチカン本対応箇所なし	cu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3777	2231	惱	惱	苦惱	苦惱	cunǒ		2				ナゥ	クナゥ					108r-10	バチカン本対応箇所なし	nǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3778	2232	群	群	群集	群集	cunju		1				クン	クンジュ					108r-13	バチカン本対応箇所なし	cun
50-055-01	ドチリーナ・キリシタン_東洋文庫	3779	2232	集	集	群集	群集	cunju		2				ジュ	クンジュ					108r-13	バチカン本対応箇所なし	ju
50-055-01	ドチリーナ・キリシタン_東洋文庫	3780	2233	苦	苦	苦樂	苦樂	curacu		1				ク	クラク					108r-15	バチカン本対応箇所なし	cu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3781	2233	樂	樂	苦樂	苦樂	curacu		2				ラク	クラク					108r-15	バチカン本対応箇所なし	racu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3782	2234	第	第	第一句	第一句	dai yccu		1				ダイ	ダイイック					108r-19	バチカン本対応箇所なし	dai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3783	2234	一	一	第一句	第一句	dai yccu		2				イッ	ダイイック					108r-19	バチカン本対応箇所なし	yc
50-055-01	ドチリーナ・キリシタン_東洋文庫	3784	2234	句	句	第一句	第一句	dai yccu		3				ク	ダイイック					108r-19	バチカン本対応箇所なし	cu
